front,back,tag,difficulty
NGN,"Next Generation NCLEX; item formats include bowtie, trend, matrix, and SATA.",Framework,1
NCJMM,NCSBN Clinical Judgment Measurement Model: Recognize→Analyze→Prioritize→Generate→Take Action→Evaluate.,Framework,2
NCSBN,National Council of State Boards of Nursing; owns and writes the NCLEX.,Framework,1
QSEN,"Quality and Safety Education for Nurses; six competencies structured as knowledge, skills, attitudes.",Framework,1
SATA,"Select All That Apply; each option scored independently, no partial-credit guessing.",Framework,1
EBP,"Evidence-Based Practice; integrating best evidence, clinical expertise, and patient values.",Framework,1
LCJR,"Lasater Clinical Judgment Rubric: noticing, interpreting, responding, reflecting — a debriefing tool.",Framework,2
GTPAL,"Gravida, Term, Preterm, Abortions, Living — five-element pregnancy-history shorthand.",OB history & dating,2
Gravida (G),"Total number of pregnancies including the current one, regardless of outcome.",OB history & dating,1
Para (P),"Number of births after 20 weeks, whether live or stillborn.",OB history & dating,2
Term (GTPAL T),Births at or beyond 37 0/7 weeks of gestation.,OB history & dating,1
Preterm (GTPAL P),Births from 20 0/7 through 36 6/7 weeks of gestation.,OB history & dating,1
Abortions (GTPAL A),"Pregnancy losses before 20 weeks, spontaneous or induced.",OB history & dating,1
Living (GTPAL L),"Number of children currently alive, regardless of current age.",OB history & dating,1
LMP,Last Menstrual Period; the first day of it anchors Naegele's rule.,OB history & dating,1
EDB,Estimated Date of Birth; modern preferred term for the due date.,OB history & dating,1
EDC,Estimated Date of Confinement; traditional term for the due date.,OB history & dating,1
GA,"Gestational Age, expressed in completed weeks plus days (e.g., 36 0/7).",OB history & dating,1
AMA,Advanced Maternal Age; 35 years or older at delivery.,OB history & dating,1
Naegele's rule,"LMP minus 3 months, plus 7 days, plus 1 year; assumes a 28-day cycle.",OB history & dating,2
hCG / β-hCG,"Human Chorionic Gonadotropin; basis of pregnancy tests, doubles early in viable pregnancy.",Signs of pregnancy,1
FHR,Fetal Heart Rate; a positive (diagnostic) sign of pregnancy.,Signs of pregnancy,1
TVUS,Transvaginal Ultrasound; visualizes early gestation and confirms a positive sign.,Signs of pregnancy,1
NT,Nuchal Translucency; aneuploidy screen with serum markers at 10 3/7–13 6/7 weeks.,Screening & diagnostics,2
cfDNA,"Cell-free DNA; screens maternal plasma for trisomy 21/18/13. Screening, not diagnostic.",Screening & diagnostics,2
NIPT / NIPS,Non-Invasive Prenatal Testing; trade term for cfDNA screening.,Screening & diagnostics,1
MSAFP,"Maternal Serum Alpha-Fetoprotein; elevated suggests neural tube defect, low suggests aneuploidy.",Screening & diagnostics,2
Quad screen,"AFP, hCG, unconjugated estriol, inhibin A; drawn at 15–22 weeks.",Screening & diagnostics,2
NTD,Neural Tube Defect such as spina bifida or anencephaly; folic acid reduces risk.,Screening & diagnostics,1
CVS,"Chorionic Villus Sampling; diagnostic karyotype at 10–13 weeks, earlier than amniocentesis.",Screening & diagnostics,2
Amniocentesis,Diagnostic karyotype from amniotic fluid at 15 weeks or later.,Screening & diagnostics,2
GCT,Glucose Challenge Test; 50 g non-fasting 1-hour screen for gestational diabetes.,Screening & diagnostics,2
